,DENTIST,DOCTOR,MEDICAL TECHNOLOGIST,MIDWIFE,NURSE,NUTRITIONIST/DIETICIAN,OCCUPATIONAL THERAPIST,PHARMACIST,PHYSICAL THERAPIST,Place of Practice,RADIOLOGY TECHNOLOGIST,Total,X-RAY TECHNOLOGIST,municipality,province
46,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,Within,0.0,7.0,0.0,TAYUM,ABRA
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,TAYUM,ABRA
48,0.0,1.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,Within,0.0,13.0,0.0,TINEG,ABRA
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,TINEG,ABRA
50,0.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,Within,0.0,9.0,0.0,TUBO,ABRA
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,TUBO,ABRA
52,0.0,3.0,1.0,9.0,10.0,0.0,0.0,0.0,0.0,Within,0.0,23.0,0.0,VILLAVICIOSA,ABRA
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,VILLAVICIOSA,ABRA
54,3.0,77.0,14.0,134.0,153.0,5.0,0.0,7.0,0.0,Within,2.0,395.0,0.0,TOTAL,ABRA
55,0.0,7.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,cross,0.0,16.0,0.0,TOTAL,ABRA
56,1.0,1.0,1.0,15.0,6.0,0.0,0.0,0.0,0.0,Within,0.0,24.0,0.0,BUENAVISTA,AGUSAN DEL NORTE
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,BUENAVISTA,AGUSAN DEL NORTE
58,9.0,143.0,44.0,125.0,333.0,10.0,0.0,20.0,6.0,Within,16.0,707.0,1.0,BUTUAN CITY,AGUSAN DEL NORTE
59,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,cross,0.0,7.0,0.0,BUTUAN CITY,AGUSAN DEL NORTE
60,1.0,9.0,2.0,24.0,28.0,1.0,0.0,3.0,0.0,Within,1.0,69.0,0.0,CABADBARAN CITY,AGUSAN DEL NORTE
61,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,1.0,0.0,CABADBARAN CITY,AGUSAN DEL NORTE
